Unnamed: 0,grants.date,grants.agency,grants.recipient,grants.value,grants.savings,grants.link,grants.description,dt_scrape
2,4/8/2025,Department of State,Bulgarian-American Commission for Educational Exchange,14707.0,14707.0,https://usaspending.gov/award/ASST_NON_SBU80021GR3042_1900,CPAIG BULGARIAN MUSEUM COLLECTIONS AT RISK: DIGITIZATION AND PREVENTION,2025-04-16
3,4/8/2025,Department of State,Redacted for PII,24500.0,9500.0,https://usaspending.gov/award/ASST_NON_SBU80024GR0517_1900,DESCRIPTION MASKED FOR PII PURPOSES,2025-04-16
4,4/8/2025,Department of State,Global Libraries - Bulgaria Foundation,14000.0,4000.0,https://usaspending.gov/award/ASST_NON_SBU80024GR0525_1900,"?YOUR OPINION MATTERS: CIVIC ENGAGEMENT OF YOUNG ADULTS? PROMOTES ACTIVE PARTICIPATION AMONG YOUNG ADULTS IN BULGARIA THROUGH PUBLIC LIBRARIES. THE PROGRAM AIMS TO POSITION LIBRARIES  FOR PUBLIC DEBATE, CIVIC ENGAGEMENT, AND COMMUNITY INVOLVEMENT.",2025-04-16
5,4/8/2025,Department of State,Redacted for PII,19500.0,0.0,https://usaspending.gov/award/ASST_NON_SBU80024IN0532_1900,DESCRIPTION MASKED FOR PII PURPOSES,2025-04-16
6,4/8/2025,Department of Justice,MAINE DEPARTMENT OF CORRECTIONS,1125000.0,1085719.0,https://usaspending.gov/award/ASST_NON_15PBJA23GG02430SCAX_1550,"THE MAINE DEPARTMENT OF CORRECTIONS (MDOC) IS COMMITTED TO A NEW MODEL OF CORRECTIONS, PROMOTING THE SAFETY AND WELL-BEING OF STAFF AND RESIDENTS, WHILE ENSURING RESIDENTS AND COMMUNITY CLIENTS SEE FEWER BARRIERS AS THEY ENGAGE WITH REHABILITATIVE-FOCUSED SERVICES. THIS PHILOSOPHY, KNOWN AS THE MAINE MODEL OF CORRECTIONS, IS FOUNDED ON PRINCIPLES OF NORMALIZATION AND HUMANIZATION, WITH EMPHASIS ON DESTIGMATIZATION, RESPECT, AND MODERNIZATION. SIMPLY, THE GOAL IS TO REBUILD AND TRANSFORM LIVES. 

THE NATIONAL STATE OF EMERGENCY WILL END MAY 2023, A SIGNIFICANT NUMBER OF MDOC RESIDENTS WHO QUALIFY FOR MAINECARE UPON RELEASE WILL NO LONGER BE ELIGIBLE. THE HEALTH CARE MARKETPLACE WILL PROVIDE A OPTION FOR HEALTH INSURANCE, BUT INCARCERATED PERSONS ARE NOT ELIGIBLE TO APPLY UNTIL AFTER RELEASED INTO THE COMMUNITY. WITHOUT HEALTH INSURANCE, THE ABILITY TO COVER TREATMENT AND MEDICATION FOR COMMUNITY-BASED OPIOID USE DISORDER TREATMENT SERVICES WILL BE LIMITED OR NON-EXISTENT. AS STUDIES SHOW, THE RISK OF DEATH FROM AN OPIOID OVERDOSE TWO WEEKS AFTER COMMUNITY REENTRY IS GREATER THAN 40% COMPARED TO THE RISK OF DEATH IN THE GENERAL POPULATION. AT ONE-YEAR POST-RELEASE THE RISK OF OPIOID-RELATED FATAL OVERDOSE FOR FORMERLY INCARCERATED INDIVIDUALS IS 11% GREATER THAN THE RISK FOR THOSE IN THE GENERAL POPULATION.

TO REDUCE OVERDOSE AND RELAPSE, MDOC WILL PARTNER WITH GROUPS RECOVER TOGETHER FOR COUNSELING, TREATMENT, AND MEDICATION FOR RESIDENTS UP TO 8-WEEKS POST-RELEASE. A RESEARCH AND EVALUATION PARTNER WILL BE IDENTIFIED THROUGH A REQUEST FOR APPLICATIONS (RFA) TO COMPETE MONTHLY, QUARTERLY, AND YEARLY ANALYSIS OF THE PROJECT. THE TARGET POPULATION WILL INCLUDE RESIDENTS RECEIVING MEDICATIONS FOR SUBSTANCE USE DISORDER (MSUD) TREATMENT, THOSE RELEASING FROM THE REENTRY CENTERS, AND THOSE WHO DO NOT HAVE ACCESS TO MAINECARE AT TIME OF RELEASE. 

THE PROJECT IDENTIFIES FIVE GOALS: 1) INCREASED ACCESS TO COMMUNITY-BASED MSUD SERVICES FOR RESIDENTS REENTERING FROM SECURE CONFINEMENT; 2) REDUCE BARRIERS TO MSUD TREATMENT INCLUDING ACCESS TO INTERNET, PHONES, TRANSPORTATION; 3) REDUCE RISK OF FATAL OVERDOSE UPON RELEASE FROM SECURE CONFINEMENT; 4) REDUCE OVERALL RECIDIVISM OVER THREE-YEARS BY 2%; AND 5) REDUCE SUBSTANCE USE CRIME RECIDIVISM OVER THREE-YEARS BY 2%.

THE DEPARTMENTS MISSION IS TO MAKE OUR COMMUNITIES SAFER BY REDUCING HARM THROUGH SUPPORTIVE INTERVENTION, EMPOWERING CHANGE, AND RESTORING LIVES. THIS PROJECT WILL ENSURE THAT RESIDENTS RECEIVING OR IN NEED OF MSUD TREATMENT WILL RECEIVE IT WITH DIGNITY AND RESPECT. 




[1] SHABBAR I. RANAPURWALA ET AL. OPIOID OVERDOSE MORTALITY AMONG FORMER NORTH CAROLINA INMATES: 20002015, AMERICAN JOURNAL OF PUBLIC",2025-04-16
7,4/8/2025,Department of Justice,MAINE DEPARTMENT OF CORRECTIONS,741960.0,330028.0,https://usaspending.gov/award/ASST_NON_15PJDP22GG03097COIP_1550,THE MAINE DEPARTMENT OF CORRECTIONS WILL USE FUNDING TO IMPLEMENT POSITIVE FAMILY ENGAGEMENT STRATEGIES AND ACTIVITIES THAT ADDRESS THE NEEDS OF INCARCERATED PARENTS WITH MINOR CHILDREN. THEY WILL PARTNER WITH MAINE BEHAVIORAL HEALTHCARE (SUB-RECIPIENT) IN THE PROVISION OF A BROAD SPECTRUM OF INTERVENTIONS TO PROTECT AND HEAL THE PARENT-CHILD RELATIONSHIP DURING RE-ENTRY INCARCERATION AND TO WORK TOWARD FAMILY STABILITY POST-RELEASE. ACTIVITIES INCLUDE FAMILY-FOCUSED CASE MANAGEMENT WITH THERAPEUTIC SERVICES TO SUPPORT THE PARENT-CHILD RELATIONSHIP DURING INCARCERATION WHILE ELIMINATING BARRIERS AND ENABLING CHILDREN OF INCARCERATED MOTHERS TO ENGAGE IN POSITIVE CHILDHOOD EXPERIENCES.,2025-04-16
8,4/8/2025,Department of Justice,MAINE DEPARTMENT OF CORRECTIONS,715000.0,116289.0,https://usaspending.gov/award/ASST_NON_15PBJA21GG02792SMTP_1550,INTEGRATE TECHNOLOGY TO REDUCE TRANSPORTATION CHALLENGES FOR INDIVIDUALS IN RURAL AREAS OF THE STATE WHILE ALSO PROVIDING A MORE FLEXIBLE APPROACH TO SUPERVISION FOR INDIVIDUALS ACROSS THE STATE.,2025-04-16
9,4/8/2025,Department of Justice,NEW ENGLAND ARAB AMERICAN ORGANIZATION,400000.0,50000.0,https://usaspending.gov/award/ASST_NON_15PBJA23GG04170ADVA_1550,"NEW ENGLAND ARAB AMERICAN ORGANIZATION (NEAAO), A NON-PROFIT 501C3 ETHNIC-BASED ORGANIZATION, WILL COLLABORATE WITH UNIFIED ASIAN COMMUNITIES AND EQUALITY MAINE TO IMPLEMENT MAKING MAINE A PLACE WITHOUT HATE, A STATE-WIDE EFFORT TO IMPROVE RESPONSE TO HATE CRIME, INCREASE REPORTING, ENHANCE VICTIM SERVICES, AND ESTABLISH HATE CRIME AS A PRIORITY AMONG LAW ENFORCEMENT, JUSTICE SYSTEMS, AND WITHIN OUR COMMUNITIES AND NEIGHBORHOODS.  THROUGH THIS PROJECT PARTNERS WILL ESTABLISH A TASK FORCE AGAINST HATE CRIME THAT BRINGS TOGETHER MAINE'S DIVERSE COMMUNITIES, DISTRICT ATTORNEYS, CIVIL RIGHTS SPECIALISTS AND DETECTIVES, MEMBERS OF THE MAINE ATTORNEY GENERAL'S OFFICE, AND A WIDE VARIETY OF STAKEHOLDERS.  THE PARTNERSHIP OF THE THREE ORGANIZATIONS REFLECTS PRIMARY COMMUNITIES IN MAINE THAT HAVE BEEN TARGETED OVER THE LAST FIVE YEARS, AND WHO ALSO HAVE HISTORIES OF WORKING EFFECTIVELY WITHIN SYSTEMS THAT PROSECUTE HATE-FUELED CRIMES AND INCIDENTS.  

MAKING MAINE A STATE WITHOUT HATE BUILDS ON NEAAO'S CURRENT WORK ADDRESSING HATE CRIME THROUGH A FUTURES WITHOUT VIOLENCE COMMUNITY IMPACT GRANT.  THE BJA GRANT WILL ENABLE NEAAO TO PARTNER WITH COMMUNITY-BASED ORGANIZATIONS TO CONTINUE BUILDING RELATIONSHIPS AMONG DISTRICT ATTORNEYS, THE MAINE ATTORNEY GENERALS OFFICE, AND LAW ENFORCEMENT. TASK FORCE EFFORTS WILL ALSO SUPPORT A MAJOR PUBLIC INFORMATION CAMPAIGN COMPRISED OF PSAS, SOCIAL MEDIA, MUNICIPAL SIGNAGE AND WIDESPREAD OUTREACH TO IMMIGRANT, LGBTQI+ AND BIPOC COMMUNITIES TO ENCOURAGE REPORTING.  BETWEEN 2019 AND 2021, THE NUMBER OF HATE CRIME REPORTS INCREASED FROM 19 TO 83, WITH THE BULK OF CRIMES TARGETING PEOPLE OF COLOR, ASIAN AMERICANS, MUSLIMS AND LGBTQ+ INDIVIDUALS.  MAINE ALSO CONTENDS WITH SOME VERY ACTIVE WHITE SUPREMACY GROUPS, INCLUDING PATRIOT FRONT AND NSC-13.

THE PROJECT TAKES A THREE-PRONG APPROACH TO PREVENTION AND INTERVENTION:  1) BUILD RELATIONSHIPS AND UNDERSTANDINGS THROUGH A MONTHLY TASK FORCE AGAINST HATE CRIME;  2) ENGAGE IN CULTURALLY AND LINGUISTICALLY APPROPRIATE OUTREACH TO TARGETED COMMUNITIES  TO INCREASE REPORTING AND BUILD TRUST; AND 3) DEVELOP A STRONG AND WELL-RESOURCED VICTIM SERVICE NETWORK THAT CAN RESPOND QUICKLY AND ALSO PROMOTE HEALING. 

WHILE MAKING MAINE A STATE WITHOUT HATE INVOLVES THREE MAJOR PARTNERS, THERE ARE MORE THAN 60 ORGANIZATIONS, POLICE DEPARTMENTS, AND JUSTICE PROFESSIONALS WHO WILL BE INVOLVED IN GROWING THE PROGRAM OVER THREE YEARS AND ENSURING SUCCESS.",2025-04-16
10,4/8/2025,Department of Justice,UNIVERSITY OF MAINE SYSTEM,73867.0,73867.0,https://usaspending.gov/award/ASST_NON_15PBJS24GK01850BJSB_1550,"THE MAINE STATISTICAL ANALYSIS CENTER (SAC), PROPOSES TO IMPLEMENT A CORE CAPACITY-BUILDING PROJECT: INCREASING ACCESS TO MAINE CRIMINAL JUSTICE DATA THROUGH BUILDING A FOUNDATIONAL DATA WAREHOUSE INFRASTRUCTURE. INNOVATIONS IN DATA MANAGEMENT AND ANALYSIS SYSTEMS NOW MAKE IT POSSIBLE TO COLLECT, PROCESS, AND REPORT MAINE CRIMINAL JUSTICE DATA GENERATED BY NUMEROUS STATE AGENCIES IN AN ACCURATE, PROMPT, AND ACCESSIBLE FASHION. HOWEVER, MAINE CRIMINAL JUSTICE DATA ARE HOUSED IN A MULTITUDE OF LOCATIONS AND A SOLE REPOSITORY DOES NOT CURRENTLY EXIST. THEREFORE, THIS PROPOSED ONE-YEAR PROJECT AIMS TO INCREASE ACCESS TO MAINE CRIMINAL JUSTICE DATA BY DEVELOPING A FOUNDATIONAL DATA STORAGE AND MANAGEMENT INFRASTRUCTURE TO DO JUST THAT. THE MAINE SAC SEEKS TO USE STRUCTURED QUERY LANGUAGE SERVER TO CREATE A MAINE SAC DATA WAREHOUSE THAT WILL BE CAPABLE OF STORING, MANIPULATING, AND MANAGING CRIMINAL JUSTICE DATA IN ONE SCALABLE ENVIRONMENT. PROJECT ACTIVITIES INCLUDE USING NATIONAL INCIDENT-BASED REPORTING SYSTEM DATA AND MAINE PROSECUTORIAL DATA TO BUILD APPROPRIATE TABLES AND SCHEMA THAT WILL BE CAPABLE OF EFFICIENTLY INCORPORATING NEW DATA IMPORTS AND UPDATING EXISTING DATA. ONCE BUILT, THE MAINE SAC DATA WAREHOUSE WILL BE DIRECTLY LINKED TO POWER BI SO THAT CRIMINAL JUSTICE DATA CAN BE EFFECTIVELY VISUALIZED THROUGH TOPIC-SPECIFIC, PUBLIC-FACING DATA DASHBOARDS ON THE MAINE SAC WEBSITE. THIS CAPACITY-BUILDING EFFORT WILL MAKE THE MAINE SAC WELL-POSITIONED FOR FUTURE COLLABORATIONS WITH MAINE CRIMINAL JUSTICE AGENCIES THAT SEEK TO USE INTERACTIVE DATA VISUALIZATIONS FOR COMPLEX DATASETS AND MAKE MEANINGFUL DATA AVAILABLE TO A WIDE AUDIENCE.",2025-04-16
11,4/8/2025,Department of Homeland Security,THE UNIVERSITY CORPORATION (California State Northridge),374640.0,710055.0,https://usaspending.gov/award/ASST_NON_23STSLA00020_7040,"THE LONG AND DIVERSE BORDERLINE OF THE U.S. POSES A GREAT CHALLENGE FOR HSE TO MANAGE IT IN AN EFFICIENT WAY. ONE PROMISING DIRECTION TO EXPLORE IS UTILIZATION OF UNMANNED VEHICLES (UVS) TO HELP TO SECURE AND MANAGE THE BORDERS. TO FULLY UNLEASH THE POTENTIAL OF UVS TO IMPROVE THE OPERATION EFFICIENCY ON BORDER SECURITY, IT IS NECESSARY TO LEVERAGE RECENT PROGRESSES IN AI FOR UV CONTROL AND USE DIFFERENT TYPES OF UVS TO FORM A SWARM. THE RESEARCH COMPONENT OF THE PROJECT FOCUSES ON THREE ASPECTS OF BUILDING SUCH SYSTEM FOR HSE TASKS: AI-BASED SWARM CONTROL, GRAPH THEORY FOR FORMATION CONTROL, AND SECURITY OF AI-DRIVEN SWARM, INCLUDING THEIR APPLICATIONS IN COUNTER-DRONE. THE EDUCATION COMPONENT IS INTEGRATED WITH THE RESEARCH TASKS. BY COLLABORATING WITH A WIDE RANGE OF STAKEHOLDERS (DHS COES, INDUSTRY PARTNERS, AND COMMUNITY COLLEGES), THE PROJECT WILL EXPOSE STUDENTS FROM CSUN AND PARTNER COMMUNITY COLLEGES TO CUTTING-EDGE RESEARCHES ON SWARM FOR HS TASKS, AND OBTAINING INTERNSHIPS OPPORTUNITIES. THESE EXPERIENCES HELPS THEM TO PURSUE HIGHER DEGREES AND FINALLY ENHANCE THE DIVERSITY OF HIGH QUALITY HSE WORKFORCE.",2025-04-16
